domain,raw_value,standard_value
stage,Discovery,Discovery
stage,1 - Discovery,Discovery
stage,Qualification,Discovery
stage,Solution Design,Solution Design
stage,2 - Solution Design,Solution Design
stage,Solutioning,Solution Design
stage,Proposal,Proposal
stage,3 - Proposal,Proposal
stage,Proposal Sent,Proposal
stage,proposal/quote,Proposal
stage,Negotiation,Negotiation
stage,4 - Negotiation,Negotiation
stage,Contracting,Negotiation
stage,Negotiation/Review,Negotiation
stage,Closed Won,Closed Won
stage,Won,Closed Won
stage,5 - Closed Won,Closed Won
stage,Closed Lost,Closed Lost
stage,Lost,Closed Lost
stage,Closed - Lost,Closed Lost
stage,Stage 1: Discovery (0-50%),Discovery
stage,Stage 2: Solution Design (50-75%),Solution Design
stage,Stage 3: Proposal (75-90%),Proposal
stage,Stage 4: Negotiation (90-100%),Negotiation
stage,Stage 5: Closed Won (100%),Closed Won
stage,Stage 0: Closed Lost,Closed Lost
department,CLOUD,Cloud & Infrastructure
department,Cloud & Infrastructure,Cloud & Infrastructure
department,Cloud & Infra,Cloud & Infrastructure
department,Cloud and Infrastructure,Cloud & Infrastructure
department,DATA_AI,Data & AI
department,Data & AI,Data & AI
department,Data and AI,Data & AI
department,Data&AI,Data & AI
department,CYBER,Cybersecurity
department,Cybersecurity,Cybersecurity
department,Cyber Security,Cybersecurity
department,ERP_APPS,ERP & Business Apps
department,ERP & Business Apps,ERP & Business Apps
department,ERP & Apps,ERP & Business Apps
department,ERP and Business Applications,ERP & Business Apps
department,ERP,ERP & Business Apps
country,Germany,DE
country,DE,DE
country,Deutschland,DE
country,GER,DE
country,Austria,AT
country,AT,AT
country,Österreich,AT
country,Switzerland,CH
country,CH,CH
country,Schweiz,CH
country,Suisse,CH
country,Netherlands,NL
country,NL,NL
country,The Netherlands,NL
country,Holland,NL
country,Belgium,BE
country,BE,BE
country,Belgique,BE
country,België,BE
country,Luxembourg,LU
country,LU,LU
country,Lux,LU
country,United Kingdom,GB
country,UK,GB
country,GB,GB
country,Great Britain,GB
country,England,GB
country,Ireland,IE
country,IE,IE
country,Eire,IE
country,France,FR
country,FR,FR
country,Sweden,SE
country,SE,SE
country,Sverige,SE
country,Denmark,DK
country,DK,DK
country,Danmark,DK
country,Norway,NO
country,NO,NO
country,Norge,NO
country,Finland,FI
country,FI,FI
country,Suomi,FI
country,Spain,ES
country,ES,ES
country,España,ES
country,Espana,ES
country,Italy,IT
country,IT,IT
country,Italia,IT
country,Portugal,PT
country,PT,PT
country,Poland,PL
country,PL,PL
country,Polska,PL
country,Czechia,CZ
country,Czech Republic,CZ
country,CZ,CZ
industry,Financial Services,Financial Services
industry,FinServ,Financial Services
industry,Banking & Insurance,Financial Services
industry,Manufacturing & Automotive,Manufacturing & Automotive
industry,Manufacturing,Manufacturing & Automotive
industry,Automotive,Manufacturing & Automotive
industry,MFG,Manufacturing & Automotive
industry,Healthcare & Life Sciences,Healthcare & Life Sciences
industry,Healthcare,Healthcare & Life Sciences
industry,Pharma,Healthcare & Life Sciences
industry,HLS,Healthcare & Life Sciences
industry,Retail & Consumer Goods,Retail & Consumer Goods
industry,Retail,Retail & Consumer Goods
industry,CPG,Retail & Consumer Goods
industry,Energy & Utilities,Energy & Utilities
industry,Utilities,Energy & Utilities
industry,Energy,Energy & Utilities
industry,Energy/Utilities,Energy & Utilities
industry,Public Sector,Public Sector
industry,Government,Public Sector
industry,Public,Public Sector
industry,Gov,Public Sector
industry,Telecom & Media,Telecom & Media
industry,Telco,Telecom & Media
industry,Telecommunications,Telecom & Media
industry,Media,Telecom & Media
industry,Transport & Logistics,Transport & Logistics
industry,Logistics,Transport & Logistics
industry,Transportation,Transport & Logistics
company_size,<250,<250
company_size,0-249,<250
company_size,small,<250
company_size,250-999,250-999
company_size,250 - 999,250-999
company_size,"1,000-4,999","1,000-4,999"
company_size,1000-4999,"1,000-4,999"
company_size,1k-5k,"1,000-4,999"
company_size,"5,000-19,999","5,000-19,999"
company_size,5000-19999,"5,000-19,999"
company_size,5k-20k,"5,000-19,999"
company_size,"20,000+","20,000+"
company_size,20000+,"20,000+"
company_size,>20k,"20,000+"
loss_reason,Lost to Competitor,Lost to Competitor
loss_reason,Competitor,Lost to Competitor
loss_reason,Price,Price
loss_reason,Too expensive,Price
loss_reason,No Budget,No Budget
loss_reason,Budget,No Budget
loss_reason,No Decision / Stalled,No Decision / Stalled
loss_reason,No decision,No Decision / Stalled
loss_reason,Stalled,No Decision / Stalled
loss_reason,Not a Fit,Not a Fit
loss_reason,Not qualified,Not a Fit
loss_reason,No fit,Not a Fit
loss_reason,Timing / Postponed,Timing / Postponed
loss_reason,Postponed,Timing / Postponed
loss_reason,Timing,Timing / Postponed
loss_reason,Scope Reduced / In-house,Scope Reduced / In-house
loss_reason,Doing in-house,Scope Reduced / In-house
loss_reason,In-house,Scope Reduced / In-house
lead_source,Inbound - Website,Inbound - Website
lead_source,Website,Inbound - Website
lead_source,Inbound,Inbound - Website
lead_source,Partner Referral,Partner Referral
lead_source,Partner,Partner Referral
lead_source,Referral,Partner Referral
lead_source,Outbound - SDR,Outbound - SDR
lead_source,Outbound,Outbound - SDR
lead_source,SDR,Outbound - SDR
lead_source,Event / Webinar,Event / Webinar
lead_source,Event,Event / Webinar
lead_source,Webinar,Event / Webinar
lead_source,Hyperscaler Co-sell,Hyperscaler Co-sell
lead_source,AWS/Azure Co-sell,Hyperscaler Co-sell
lead_source,Co-sell,Hyperscaler Co-sell
lead_source,Existing Customer (Upsell),Existing Customer (Upsell)
lead_source,Upsell,Existing Customer (Upsell)
lead_source,Existing Customer,Existing Customer (Upsell)
owner,L. Schneider,lukas.schneider@nexora-consulting.eu
owner,F. Nielsen,freja.nielsen@nexora-consulting.eu
owner,P. Janssens,pieter.janssens@nexora-consulting.eu
owner,T. Novák,tomas.novak@nexora-consulting.eu
owner,O. Hughes,oliver.hughes@nexora-consulting.eu
owner,C. Martin,chloe.martin@nexora-consulting.eu
owner,M. López,mateo.lopez@nexora-consulting.eu
owner,A. Müller,anna.muller@nexora-consulting.eu
owner,M. Lindqvist,mikael.lindqvist@nexora-consulting.eu
owner,E. de Vries,emma.devries@nexora-consulting.eu
owner,K. Nowak,katarzyna.nowak@nexora-consulting.eu
owner,E. Clarke,ethan.clarke@nexora-consulting.eu
owner,H. Laurent,hugo.laurent@nexora-consulting.eu
owner,M. Rossi,marco.rossi@nexora-consulting.eu
owner,E. Bianchi,elena.bianchi@nexora-consulting.eu
owner,N. Walsh,niamh.walsh@nexora-consulting.eu
owner,F. Wagner,felix.wagner@nexora-consulting.eu
owner,S. Andersson,sara.andersson@nexora-consulting.eu
owner,J. Kowalski,jan.kowalski@nexora-consulting.eu
owner,T. Barker,tom.barker@nexora-consulting.eu
owner,A. Byrne,aoife.byrne@nexora-consulting.eu
owner,D. Moreau,david.moreau@nexora-consulting.eu
owner,I. Ferreira,isabel.ferreira@nexora-consulting.eu
owner,J. Hoffmann,julia.hoffmann@nexora-consulting.eu
owner,S. Johansson,sven.johansson@nexora-consulting.eu
owner,L. Fischer,lena.fischer@nexora-consulting.eu
owner,P. Conti,paolo.conti@nexora-consulting.eu
owner,G. Thompson,grace.thompson@nexora-consulting.eu
owner,C. Bernard,camille.bernard@nexora-consulting.eu
owner,Anna Mueller,anna.muller@nexora-consulting.eu
