Department,Quarter,Bookings Target (EUR)
Cloud & Infrastructure,2024-Q4,8830000
Cloud & Infrastructure,2025-Q1,9190000
Cloud & Infrastructure,2025-Q2,9080000
Cloud & Infrastructure,2025-Q3,9220000
Cloud & Infrastructure,2025-Q4,8880000
Cloud & Infrastructure,2026-Q1,8920000
Cloud & Infrastructure,2026-Q2,9500000
Cloud & Infrastructure,2026-Q3,9070000
Cloud & Infrastructure,2026-Q4,9140000
Data & AI,2024-Q4,9300000
Data & AI,2025-Q1,8700000
Data & AI,2025-Q2,8480000
Data & AI,2025-Q3,9000000
Data & AI,2025-Q4,9290000
Data & AI,2026-Q1,9480000
Data & AI,2026-Q2,9940000
Data & AI,2026-Q3,10040000
Data & AI,2026-Q4,9880000
Cybersecurity,2024-Q4,8280000
Cybersecurity,2025-Q1,7910000
Cybersecurity,2025-Q2,8130000
Cybersecurity,2025-Q3,8580000
Cybersecurity,2025-Q4,8270000
Cybersecurity,2026-Q1,8550000
Cybersecurity,2026-Q2,9040000
Cybersecurity,2026-Q3,10480000
Cybersecurity,2026-Q4,11000000
ERP & Business Apps,2024-Q4,12480000
ERP & Business Apps,2025-Q1,13290000
ERP & Business Apps,2025-Q2,12110000
ERP & Business Apps,2025-Q3,12300000
ERP & Business Apps,2025-Q4,11880000
ERP & Business Apps,2026-Q1,11740000
ERP & Business Apps,2026-Q2,11440000
ERP & Business Apps,2026-Q3,12150000
ERP & Business Apps,2026-Q4,12030000
