Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified
OPP-1147,Zephyr Pharma - Identity & Access Management,ACC-10700,Zephyr Pharma S.L.,"Ferreira, Isabel",cybersecurity,Identity & Access Management,Closed - Lost,0%,70000,EUR,2024-12-07,2025-08-04,2025-01-28,,Website,2025-01-28,2025-01-28 17:00:00
OPP-1177,Fjordline Automotive - Analytics & BI,ACC-10658,Fjordline Automotive B.V.,Emma de Vries,Data & AI,Analytics & BI,Closed Lost,0,52500,EUR,2024-12-14,2025-03-28,2025-08-15,Not a Fit,Inbound,2025-08-15,2025-08-15 17:00:00
OPP-1142,Invicta Logistics - SAP S/4HANA Implementation,ACC-10657,Invicta Logistics plc,Grace Thompson,ERP & Business Apps,SAP S/4HANA Implementation,Discovery,10,328 500,GBP,2024-12-06,2025-03-13,,,Event / Webinar,2025-01-01,2024-12-28 13:20:02
OPP-1168,Cygnus Consumer - Analytics & BI,ACC-10451,Cygnus Consumer N.V.,emma de vries,Data & AI,Analytics & BI,Closed Won,100,35000,EUR,2024-12-13,2025-03-30,2025-08-09,,Partner Referral,2025-08-09,2025-08-09 18:48:45
OPP-1122,Riviera Brands - Security Assessment,ACC-10735,Riviera Brands N.V.,Sara Andersson,Cyber,Security Assessment,Closed Lost,0%,"€22,000",EUR,2024-12-03,2025-04-02,2025-01-22,no budget,Partner Referral,2025-01-22,2025-01-22 17:00:00
OPP-1213,Oakridge Capital - Managed SOC,ACC-10758,Oakridge Capital S.r.l.,Isabel Ferreira,Cyber,Managed SOC,Lost,0%,458000,EUR,2024-12-22,2025-07-09,2025-03-09,,Partner Referral,2025-03-09,2025-03-09 17:00:00
OPP-1154,Moselle Agency - Identity & Access Management,ACC-10288,Moselle Agency S.p.A.,Isabel Ferreira,Cybersecurity,Identity & Access Management,Closed Lost,0%,77000,EUR,2024-12-09,2025-08-15,2025-04-29,No Decision / Stalled,Inbound - Website,2025-04-29,2025-04-29 17:00:00
OPP-1123,Isola Municipal Services - Salesforce Implementation,ACC-10463,Isola Municipal Services N.V.,Lena Fischer,ERP & Apps,Salesforce Implementation,Closed - Lost,0,79 500,,2024-12-03,2025-08-06,2024-12-19,No decision,Website,2024-12-19,2024-12-19 17:00:00
OPP-1209,Meridian Grid - SAP S/4HANA Implementation,ACC-10558,Meridian Grid AB,Sven Johansson,ERP & Business Apps,SAP S/4HANA Implementation,5 - Closed Won,100%,12201400,SEK,2024-12-20,20/03/2025,2025-03-13,,SDR,2025-03-13,2025-03-13 20:39:45
OPP-1211,Castellan Precision - Managed Cloud Services,ACC-10186,Castellan Precision Sp. z o.o.,Tomáš Novák  ,Cloud & Infrastructure,Managed Cloud Services,Closed Lost,0,296500,EUR,2024-12-21,2025-04-13,2025-01-24,No Budget,Upsell,2025-01-24,2025-01-24 23:19:27
OPP-1245,Corvina Broadcast - Cloud Migration,ACC-10592,Corvina Broadcast B.V.,Pieter Janssens,Cloud & Infrastructure,Cloud Migration,Closed Won,100,"64,500.00",EUR,2024-12-28,2025-02-20,2025-04-14,,Outbound - SDR,2025-04-14,2025-04-14 17:00:00
OPP-1164,Atlas Mobility - Analytics & BI,ACC-10236,Atlas Mobility S.A.,Katarzyna Nowak,Data & AI,Analytics & BI,Closed Lost,0%,184000,PLN,2024-12-12,2025-06-06,2025-04-15,No Decision / Stalled,Existing Customer (Upsell),2025-04-15,2025-04-15 17:00:00
OPP-1174,Castellan Grid - Identity & Access Management,ACC-10568,Castellan Grid B.V.,Sara Andersson,Cybersecurity,Identity & Access Management,Lost,0,36500,,2024-12-13,2025-03-29,2025-07-30,Scope Reduced / In-house,Referral,2025-07-30,2025-07-30 17:00:00
OPP-1265,Solvik Bank - Analytics & BI,ACC-10260,Solvik Bank Ltd,Ethan Clarke,Data & AI,Analytics & BI,Closed - Lost,0%,66 300,,2024-12-30,2025-02-26,2025-03-03,No Decision / Stalled,Webinar,2025-03-03,2025-03-03 17:00:00
OPP-1146,Rhein Freight - DevOps & Platform Engineering,ACC-10308,RHEIN FREIGHT A.S.,Tomáš Novák,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Won,100,5135500,CZK,2024-12-07,2025-04-22,2025-03-10,,Existing Customer (Upsell),2025-03-10,2025-03-10 17:00:00
OPP-1255,Borealis Grid - AI & GenAI Solutions,ACC-10386,Borealis Grid AG,Anna Müller,Data & AI,AI & GenAI Solutions,5 - Closed Won,100,47000,EUR,2024-12-30,2025-03-27,2025-05-13,,Referral,2025-05-13,2025-05-13 17:00:00
OPP-1114,Noord Agency - Application Support,ACC-10588,Noord Agency plc,Grace Thompson,ERP & Business Apps,Application Support,Closed Lost,0,43900,GBP,01/12/2024,21/05/2025,2025-01-07,No Decision / Stalled,Outbound - SDR,2025-01-07,2025-01-07 21:03:03
