Month,Currency,EUR per 1 unit
2024-04,EUR,1.0
2024-05,EUR,1.0
2024-06,EUR,1.0
2024-07,EUR,1.0
2024-08,EUR,1.0
2024-09,EUR,1.0
2024-10,EUR,1.0
2024-11,EUR,1.0
2024-12,EUR,1.0
2025-01,EUR,1.0
2025-02,EUR,1.0
2025-03,EUR,1.0
2025-04,EUR,1.0
2025-05,EUR,1.0
2025-06,EUR,1.0
2025-07,EUR,1.0
2025-08,EUR,1.0
2025-09,EUR,1.0
2025-10,EUR,1.0
2025-11,EUR,1.0
2025-12,EUR,1.0
2026-01,EUR,1.0
2026-02,EUR,1.0
2026-03,EUR,1.0
2026-04,EUR,1.0
2026-05,EUR,1.0
2026-06,EUR,1.0
2026-07,EUR,1.0
2026-08,EUR,1.0
2026-09,EUR,1.0
2024-04,GBP,1.16191
2024-05,GBP,1.14974
2024-06,GBP,1.15269
2024-07,GBP,1.16022
2024-08,GBP,1.14849
2024-09,GBP,1.15845
2024-10,GBP,1.16323
2024-11,GBP,1.18212
2024-12,GBP,1.20686
2025-01,GBP,1.198
2025-02,GBP,1.19063
2025-03,GBP,1.17457
2025-04,GBP,1.17189
2025-05,GBP,1.14426
2025-06,GBP,1.12978
2025-07,GBP,1.14101
2025-08,GBP,1.15095
2025-09,GBP,1.16281
2025-10,GBP,1.16664
2025-11,GBP,1.1736
2025-12,GBP,1.18706
2026-01,GBP,1.1813
2026-02,GBP,1.18962
2026-03,GBP,1.20283
2026-04,GBP,1.20771
2026-05,GBP,1.20707
2026-06,GBP,1.22292
2026-07,GBP,1.18981
2026-08,GBP,1.15109
2026-09,GBP,1.14669
2024-04,CHF,1.03028
2024-05,CHF,1.05199
2024-06,CHF,1.07502
2024-07,CHF,1.07762
2024-08,CHF,1.05396
2024-09,CHF,1.03949
2024-10,CHF,1.02882
2024-11,CHF,1.02657
2024-12,CHF,1.00095
2025-01,CHF,1.01938
2025-02,CHF,1.01602
2025-03,CHF,1.01062
2025-04,CHF,1.01539
2025-05,CHF,1.01316
2025-06,CHF,0.99451
2025-07,CHF,1.01052
2025-08,CHF,1.00157
2025-09,CHF,0.99658
2025-10,CHF,1.00998
2025-11,CHF,0.99248
2025-12,CHF,0.98688
2026-01,CHF,1.00114
2026-02,CHF,1.00201
2026-03,CHF,0.98918
2026-04,CHF,0.98449
2026-05,CHF,0.97596
2026-06,CHF,0.95676
2026-07,CHF,0.93883
2026-08,CHF,0.93634
2026-09,CHF,0.91346
2024-04,SEK,0.08599
2024-05,SEK,0.08453
2024-06,SEK,0.08418
2024-07,SEK,0.08464
2024-08,SEK,0.08403
2024-09,SEK,0.08386
2024-10,SEK,0.08482
2024-11,SEK,0.08375
2024-12,SEK,0.08372
2025-01,SEK,0.08486
2025-02,SEK,0.08649
2025-03,SEK,0.08769
2025-04,SEK,0.0868
2025-05,SEK,0.08598
2025-06,SEK,0.08668
2025-07,SEK,0.08761
2025-08,SEK,0.08848
2025-09,SEK,0.08629
2025-10,SEK,0.08456
2025-11,SEK,0.08572
2025-12,SEK,0.08598
2026-01,SEK,0.08612
2026-02,SEK,0.08566
2026-03,SEK,0.08473
2026-04,SEK,0.08457
2026-05,SEK,0.08377
2026-06,SEK,0.0835
2026-07,SEK,0.08575
2026-08,SEK,0.08597
2026-09,SEK,0.08526
2024-04,DKK,0.133
2024-05,DKK,0.13278
2024-06,DKK,0.12982
2024-07,DKK,0.13067
2024-08,DKK,0.13336
2024-09,DKK,0.13412
2024-10,DKK,0.13308
2024-11,DKK,0.13211
2024-12,DKK,0.1318
2025-01,DKK,0.13195
2025-02,DKK,0.13182
2025-03,DKK,0.13231
2025-04,DKK,0.1319
2025-05,DKK,0.13351
2025-06,DKK,0.13026
2025-07,DKK,0.12831
2025-08,DKK,0.12989
2025-09,DKK,0.12925
2025-10,DKK,0.12927
2025-11,DKK,0.12855
2025-12,DKK,0.12632
2026-01,DKK,0.12676
2026-02,DKK,0.12691
2026-03,DKK,0.13119
